,0
Total,0.0659022678771657
047-CKT-1-Thionine-1-11-16-12-03.png,0.0
059-CKT-1-Thionine-1-11-16-12-04.png,0.0
071-CKT-1-Thionine-1-11-16-12-05.png,0.19205298013245034
083-CKT-1-Thionine-1-11-16-12-06.png,0.022780832678711706
095-CKT-1-Thionine-1-11-16-12-07.png,0.02572347266881029
107-CKT-1-Thionine-1-11-16-12-08.png,0.055299539170506916
119-CKT-1-Thionine-1-11-16-12-09.png,0.0634226353198469
131-CKT-1-Thionine-1-11-16-12-10.png,0.07935735150925025
143-CKT-1-Thionine-1-11-16-12-11.png,0.08341187558906692
155-CKT-1-Thionine-1-11-16-12-12.png,0.10714285714285714
167-CKT-1-Thionine-1-11-16-12-13.png,0.09538878842676311
179-CKT-1-Thionine-1-11-16-12-14.png,0.09692028985507246
191-CKT-1-Thionine-1-11-16-12-15.png,0.07603152526657395
203-CKT-1-Thionine-1-11-16-12-16.png,0.07524271844660194
215-CKT-1-Thionine-1-11-16-12-17.png,0.008296730112249878
227-CKT-1-Thionine-1-11-16-12-18.png,0.0
