,Region,Perc_damage
0,Total grid,0.05428563044690279
1,Total atlas,0.0659022678771657
2,Clear Label,0.004353233830845771
3,root,0.0
4,Basic cell groups and regions,0.0
5,Cerebrum,0.0
6,Cerebral cortex,0.0
7,Cortical plate,0.0
8,Isocortex,0.006360187458156662
9,Olfactory areas,0.09482288828337875
10,Hippocampal formation,0.0
11,Hippocampal region,0.0
12,Ammon's horn,0.0
13,Dentate gyrus,0.0
14,"Dentate gyrus, molecular layer",0.011194029850746268
15,"Dentate gyrus, polymorph layer",0.0
16,"Dentate gyrus, granule cell layer",0.0
17,Fasciola cinerea,0.0
18,Induseum griseum,0.0
19,Retrohippocampal region,0.0
20,Entorhinal area,0.0
21,Parasubiculum,0.0
22,Postsubiculum,0.0
23,Presubiculum,0.0
24,Subiculum,0.0
25,Cortical subplate,0.104
26,Claustrum,0.0
27,Endopiriform nucleus,0.03614457831325301
28,Lateral amygdalar nucleus,0.0
29,Basolateral amygdalar nucleus,0.0
30,Basomedial amygdalar nucleus,0.0
31,Posterior amygdalar nucleus,0.0
32,Cerebral nuclei,0.0
33,Striatum,0.08641975308641975
34,Striatum dorsal region,0.0
35,Caudoputamen,0.0
36,Striatum ventral region,0.0
37,Nucleus accumbens,0.0
38,Fundus of striatum,0.0
39,Olfactory tubercle,0.0
40,Lateral septal complex,0.10882352941176471
41,Striatum-like amygdalar nuclei,0.0
42,Pallidum,0.11076923076923077
43,Brain stem,0.0
44,Interbrain,0.0
45,Thalamus,0.13445378151260504
46,"Thalamus, sensory-motor cortex related",0.0
47,Ventral group of the dorsal thalamus,0.0
48,Subparafascicular nucleus,0.17647058823529413
49,Subparafascicular area,0.0
50,Peripeduncular nucleus,0.0
51,"Geniculate group, dorsal thalamus",0.0
52,"Thalamus, polymodal association cortex related",0.0
53,Lateral group of the dorsal thalamus,0.0
54,Anterior group of the dorsal thalamus,0.022058823529411766
55,Medial group of the dorsal thalamus,0.23786407766990292
56,Midline group of the dorsal thalamus,0.2706766917293233
57,Intralaminar nuclei of the dorsal thalamus,0.09230769230769231
58,Reticular nucleus of the thalamus,0.0
59,"Geniculate group, ventral thalamus",0.0
60,Epithalamus,0.2894736842105263
61,Hypothalamus,0.4731301939058172
62,Midbrain,0.1226158038147139
63,"Midbrain, sensory related",0.0
64,"Midbrain, motor related",0.05201342281879195
65,"Midbrain, behavioral state related",0.045871559633027525
66,Hindbrain,0.0
67,Pons,0.09821428571428571
68,"Pons, sensory related",0.0
69,"Pons, motor related",0.009569377990430622
70,"Pons, behavioral state related",0.0
71,Medulla,0.0
72,"Medulla, sensory related",0.0
73,"Medulla, motor related",0.0
74,"Medulla, behavioral state related",0.0
75,Cerebellum,0.0
76,Cerebellar cortex,0.0
77,Cerebellar nuclei,0.0
78,fiber tracts,0.06371911573472042
79,ventricular systems,0.21406727828746178
